0.0919997 | nan | 0.1013212
0.1004821 | nan | 0.1117066
0.1101419 | nan | 0.1237746
0.1211954 | nan | 0.1379094
0.1339076 | nan | 0.1546112
0.1486040 | nan | 0.1745416
0.1656860 | nan | 0.1985895
0.1856496 | nan | 0.2279727
0.2091075 | nan | 0.2643943
0.2368137 | nan | 0.3102961
0.2696881 | nan | 0.3692780
0.3088321 | nan | 0.4468264
0.3555196 | 0 | 0.5516376
0.4111295 | 0 | 0.6981663
0.4769575 | 0 | 0.9118907
0.5538074 | 0 | 1.2411845
0.6412306 | 0 | 1.7873057
0.7363332 | 0 | 2.7926651
0.8323480 | 0 | 4.9647380
0.9178352 | 0 | 11.1706605
0.9781098 | 0 | 44.6826420
1.0000000 | 0 | 1920228128156371119427997925376.0000000
0.9781098 | 0 | 44.6826420
0.9178352 | 0 | 11.1706605
0.8323480 | 0 | 4.9647380
0.7363332 | 0 | 2.7926651
0.6412306 | 0 | 1.7873057
0.5538074 | 0 | 1.2411845
0.4769575 | 0 | 0.9118907
0.4111295 | 0 | 0.6981663
0.3555196 | 0 | 0.5516376
0.3088321 | nan | 0.4468264
0.2696881 | nan | 0.3692780
0.2368137 | nan | 0.3102961
0.2091075 | nan | 0.2643943
0.1856496 | nan | 0.2279727
0.1656860 | nan | 0.1985895
0.1486040 | nan | 0.1745416
0.1339076 | nan | 0.1546112
0.1211954 | nan | 0.1379094
0.1101419 | nan | 0.1237746
0.1004821 | nan | 0.1117066
